"sample","fpl","SWB_1","SWB_2","SWB_3","FWBscore","FWB1_1","FWB1_2","FWB1_3","FWB1_4","FWB1_5","FWB1_6","FWB2_1","FWB2_2","FWB2_3","FWB2_4","FSscore","FS1_1","FS1_2","FS1_3","FS1_4","FS1_5","FS1_6","FS1_7","FS2_1","FS2_2","FS2_3","SUBKNOWL1","ACT1_1","ACT1_2","FINGOALS","PROPPLAN_1","PROPPLAN_2","PROPPLAN_3","PROPPLAN_4","MANAGE1_1","MANAGE1_2","MANAGE1_3","MANAGE1_4","SAVEHABIT","FRUGALITY","AUTOMATED_1","AUTOMATED_2","ASK1_1","ASK1_2","SUBNUMERACY2","SUBNUMERACY1","CHANGEABLE","GOALCONF","LMscore","FINKNOWL1","FINKNOWL2","FINKNOWL3","FK1correct","FK2correct","FK3correct","KHscore","KHKNOWL1","KHKNOWL2","KHKNOWL3","KHKNOWL4","KHKNOWL5","KHKNOWL6","KHKNOWL7","KHKNOWL8","KHKNOWL9","KH1correct","KH2correct","KH3correct","KH4correct","KH5correct","KH6correct","KH7correct","KH8correct","KH9correct","ENDSMEET","HOUSING","LIVINGARRANGEMENT","HOUSERANGES","IMPUTATION_FLAG","VALUERANGES","MORTGAGE","SAVINGSRANGES","PRODHAVE_1","PRODHAVE_2","PRODHAVE_3","PRODHAVE_4","PRODHAVE_5","PRODHAVE_6","PRODHAVE_7","PRODHAVE_8","PRODHAVE_9","PRODUSE_1","PRODUSE_2","PRODUSE_3","PRODUSE_4","PRODUSE_5","PRODUSE_6","CONSPROTECT1","CONSPROTECT2","CONSPROTECT3","EARNERS","VOLATILITY","SNAP","MATHARDSHIP_1","MATHARDSHIP_2","MATHARDSHIP_3","MATHARDSHIP_4","MATHARDSHIP_5","MATHARDSHIP_6","COLLECT","REJECTED_1","REJECTED_2","ABSORBSHOCK","BENEFITS_1","BENEFITS_2","BENEFITS_3","BENEFITS_4","BENEFITS_5","FRAUD2","COVERCOSTS","BORROW_1","BORROW_2","SHOCKS_1","SHOCKS_2","SHOCKS_3","SHOCKS_4","SHOCKS_5","SHOCKS_6","SHOCKS_7","SHOCKS_8","SHOCKS_9","SHOCKS_10","SHOCKS_11","SHOCKS_12","MANAGE2","PAIDHELP","HSLOC","PAREDUC","FINSOC2_1","FINSOC2_2","FINSOC2_3","FINSOC2_4","FINSOC2_5","FINSOC2_6","FINSOC2_7","OBJNUMERACY1","ON2correct","ON1correct","MATERIALISM_1","MATERIALISM_2","MATERIALISM_3","CONNECT","HEALTH","SCFHORIZON","DISCOUNT","MEMLOSS","DISTRESS","SELFCONTROL_1","SELFCONTROL_2","SELFCONTROL_3","OUTLOOK_1","OUTLOOK_2","INTERCONNECTIONS_1","INTERCONNECTIONS_2","INTERCONNECTIONS_3","INTERCONNECTIONS_4","INTERCONNECTIONS_5","INTERCONNECTIONS_6","INTERCONNECTIONS_7","INTERCONNECTIONS_8","INTERCONNECTIONS_9","INTERCONNECTIONS_10","PEM","HOUSESAT","SOCSEC1","SOCSEC2","SOCSEC3","LIFEEXPECT","HHEDUC","KIDS_NoChildren","KIDS_1","KIDS_2","KIDS_3","KIDS_4","EMPLOY","EMPLOY1_1","EMPLOY1_2","EMPLOY1_3","EMPLOY1_4","EMPLOY1_5","EMPLOY1_6","EMPLOY1_7","EMPLOY1_8","EMPLOY1_9","RETIRE","MILITARY","Military_Status","agecat","generation","PPEDUC","PPETHM","PPGENDER","PPHHSIZE","PPINCIMP","PPMARIT","PPMSACAT","PPREG4","PPREG9","PPT01","PPT25","PPT612","PPT1317","PPT18OV","PCTLT200FPL","finalwt"
1,3,5,5,6,65,4,4,2,4,5,2,1,5,1,2,58,5,4,3,3,3,5,4,4,4,2,5,5,4,1,4,4,4,4,5,4,4,4,6,6,1,1,3,3,3,5,3,3,3,1,3,2,1,1,1,0.712,2,3,2,1,1,2,3,1,1,0,1,1,1,1,1,0,0,1,1,1,2,5,0,3,2,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0,2,1,0,1,1,1,1,1,1,0,0,0,4,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,4,0,1,0,1,1,0,0,2,1,1,3,4,3,50,"1",2,2,0,3,2,3,3,4,4,0,0,0,0,1,0,0,0,0,0,3,3,1,62,67,50,4,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,1,2,5,2,4,4,1,2,9,3,1,1,2,0,0,0,0,2,0,0.6083281
2,3,7,7,7,95,5,5,1,5,1,1,1,5,1,1,85,5,5,5,5,5,5,5,5,5,1,6,5,5,0,5,5,5,5,5,5,5,5,6,6,7,1,2,3,3,6,5,4,3,1,3,2,1,1,1,0.712,3,3,2,1,2,2,4,2,1,1,1,1,1,0,1,1,1,1,1,1,2,1,0,3,1,6,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1,1,1,1,1,1,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,4,1,1,1,1,1,1,1,2,1,1,3,3,1,100,"1",3,1,0,1,1,4,4,5,5,0,0,0,0,0,0,0,1,0,0,7,4,1,62,70,80,3,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,2,1,2,7,1,3,1,1,2,7,1,1,4,9,0,0,0,0,2,0,0.4630712
1,3,6,7,7,64,4,4,1,4,2,3,2,3,1,2,57,4,5,3,3,3,4,4,5,5,2,5,5,5,1,4,4,4,4,5,4,5,5,6,5,1,0,3,2,4,4,4,4,3,1,3,2,1,1,1,0.242,3,2,1,1,2,2,4,4,1,1,0,0,1,0,1,1,0,1,1,1,2,99,0,99,99,99,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1,1,1,1,1,1,0,0,0,4,0,1,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,3,0,0,0,1,0,0,0,3,1,0,2,2,1,88,"1",3,1,0,1,2,3,4,3,5,0,1,0,0,0,0,0,0,0,0,6,3,1,62,65,85,3,0,0,0,2,0,4,0,0,0,1,0,0,0,0,0,2,0,5,3,3,3,1,2,4,6,1,0,1,2,0,0,0,1,2,0,1.261929
1,3,7,7,7,77,5,5,1,5,1,1,1,5,1,3,77,5,5,5,5,3,5,5,5,5,2,5,5,5,1,5,5,5,5,5,5,5,5,6,6,1,1,4,3,5,3,2,4,2,1,2,2,1,0,1,1.267,3,3,3,1,1,2,2,2,1,1,1,0,1,1,1,0,1,1,1,1,2,7,0,4,3,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0,2,1,0,1,1,1,1,1,1,0,0,0,4,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,0,0,1,1,1,0,0,2,1,1,1,1,1,70,"1",5,2,0,2,1,3,4,1,4,0,1,0,0,0,0,0,1,0,0,7,4,1,65,68,100,4,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,5,3,3,4,1,2,2,8,5,1,3,7,0,0,0,0,2,0,1.840624
1,2,4,4,5,53,3,4,2,3,3,2,3,3,2,3,46,3,3,3,3,3,4,4,3,4,3,5,4,3,1,5,4,3,3,5,5,5,5,5,5,0,1,3,3,5,4,5,3,2,1,1,2,1,0,1,0.242,3,2,2,1,2,2,3,3,1,1,0,1,1,0,1,0,0,1,1,2,2,5,0,2,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,1,0,2,3,0,2,1,1,1,1,1,0,0,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,1,1,0,1,1,0,0,2,0,1,1,1,1,50,"1",3,2,0,3,1,4,3,3,5,0,0,1,0,0,0,0,0,0,0,6,4,1,62,65,90,5,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,5,3,3,3,1,1,1,1,3,1,1,2,0,0,0,0,1,0,0.7272324
1,2,7,7,6,46,1,2,3,3,3,4,3,1,3,3,34,3,3,2,2,1,2,3,2,3,4,2,3,2,1,1,2,3,1,3,2,1,1,2,2,7,0,2,3,3,2,4,2,3,1,3,2,1,1,1,0.242,1,3,2,1,1,2,4,4,1,0,1,1,1,1,1,1,0,1,2,2,4,4,0,2,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,3,0,1,0,0,0,0,0,2,1,1,4,4,4,40,"1",1,1,0,3,1,2,2,3,4,1,0,0,0,1,0,0,0,0,0,6,3,1,62,65,50,3,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,5,2,4,3,4,1,2,2,4,1,3,5,0,0,0,0,2,0,1.333098
2,3,6,5,4,49,1,3,3,3,3,3,3,3,3,3,41,3,3,3,3,3,3,3,3,3,3,5,3,3,1,4,4,4,4,4,3,3,3,4,4,0,1,4,2,6,6,6,3,3,1,3,2,1,1,1,0.712,3,3,2,1,1,2,3,2,1,1,1,1,1,1,1,0,1,1,2,1,2,1,0,2,1,6,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0,2,1,0,1,1,1,1,1,1,1,0,1,3,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,3,0,1,0,0,0,1,1,2,1,1,4,4,4,100,"1",3,1,0,4,3,2,3,3,1,0,1,0,0,1,0,0,0,0,0,3,4,1,62,62,90,3,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,2,1,4,7,1,3,1,2,2,8,1,1,4,9,0,0,0,0,2,0,0.5667611
2,2,6,3,2,62,4,1,2,5,4,5,1,4,1,2,54,5,1,3,3,3,4,4,4,5,3,6,5,3,1,4,5,4,4,5,4,5,5,5,6,7,0,5,3,3,4,2,4,3,1,3,2,1,1,1,0.242,3,3,2,1,1,2,4,4,2,1,1,1,1,1,1,1,0,0,1,1,4,1,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,2,1,0,1,1,1,1,1,1,0,0,0,4,0,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,1,0,1,0,1,1,0,0,2,1,1,1,3,1,100,"0",2,2,0,3,2,3,3,5,5,1,0,1,0,0,0,0,0,0,0,7,4,1,62,62,50,3,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,5,6,2,3,1,1,2,2,3,1,3,5,0,0,0,0,2,0,0.8566479
1,1,5,6,6,57,3,5,1,4,3,3,3,4,2,2,50,3,4,2,2,2,5,5,5,5,3,5,3,4,0,5,4,4,4,4,3,1,5,6,5,7,1,5,3,2,4,5,3,2,1,1,2,1,0,1,0.242,1,3,3,2,1,2,3,3,2,0,1,0,0,1,1,0,0,0,1,2,5,1,0,1,2,99,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,2,0,1,1,2,1,1,1,0,1,1,8,0,0,0,0,0,8,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,3,0,1,1,0,0,0,0,0,0,0,2,1,1,3,3,3,75,"1",3,2,0,4,2,4,4,5,5,0,1,0,0,0,0,0,1,0,0,7,1,1,62,65,100,2,1,0,0,0,0,2,1,1,0,0,0,0,0,0,0,1,0,5,1,4,2,1,2,5,1,4,1,4,8,0,0,0,1,4,1,0.5930639
2,3,7,7,7,77,4,5,1,5,1,2,1,4,1,2,52,4,5,4,3,3,3,4,3,4,2,5,4,4,1,4,4,4,4,4,4,5,5,6,6,0,0,4,3,2,5,2,4,3,1,3,2,1,1,1,0.712,3,3,2,1,1,2,4,1,1,1,1,1,1,1,1,1,0,1,1,1,2,4,0,3,1,4,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,2,2,0,2,1,0,1,1,1,1,1,1,0,0,0,4,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,4,1,1,1,1,1,1,0,2,1,1,3,4,2,100,"1",5,2,0,2,2,3,3,5,5,0,0,0,0,0,0,0,1,0,0,6,4,1,65,62,100,4,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,2,0,5,6,2,4,1,1,2,8,1,1,1,2,0,0,0,0,2,0,0.6699327
1,1,5,6,6,49,1,2,1,3,3,3,4,3,3,3,40,2,4,2,3,3,3,2,4,4,2,4,5,3,0,4,3,2,2,5,3,3,4,2,6,7,7,1,3,4,5,5,2,3,1,3,2,1,1,1,0.712,2,3,2,1,1,2,4,2,1,0,1,1,1,1,1,1,1,1,2,2,4,3,1,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,1,0,1,1,1,1,1,1,0,0,0,8,1,0,0,0,0,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,5,0,1,0,1,1,0,1,2,1,1,2,2,3,80,"1",1,1,0,4,3,3,2,3,4,1,0,0,0,1,0,0,0,0,0,6,4,1,62,65,75,3,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,5,1,4,3,1,1,3,1,4,1,1,1,0,0,0,0,3,0,0.5626456
1,3,5,5,5,47,4,3,3,3,3,4,3,3,3,3,39,3,3,2,3,3,3,2,3,3,3,3,3,2,0,2,3,3,3,4,3,4,3,2,3,0,1,3,3,2,2,5,3,2,1,1,2,1,0,1,0.712,3,2,2,1,1,2,1,2,1,1,0,1,1,1,1,0,1,1,2,2,2,5,0,1,2,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,1,0,1,1,1,2,2,1,8,0,0,4,1,1,0,0,0,8,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,0,0,0,0,0,2,1,1,2,3,2,90,"0",2,2,0,3,2,2,3,3,4,0,1,0,0,0,0,0,0,0,0,4,3,1,62,65,65,5,1,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,0,5,2,4,3,4,1,2,6,1,1,1,1,0,0,0,0,2,0,1.448878
1,3,6,6,7,64,4,4,2,4,2,2,2,5,1,2,59,3,4,5,5,4,4,4,4,5,2,7,4,4,1,3,3,4,2,5,4,3,4,5,6,1,1,4,3,6,6,5,4,3,1,3,2,1,1,1,0.712,3,3,2,1,1,2,3,2,1,1,1,1,1,1,1,0,1,1,1,1,2,7,0,4,3,5,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,2,1,0,2,2,0,1,1,1,1,1,1,0,0,0,4,1,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,4,0,1,0,1,1,0,0,2,1,1,2,2,2,90,"1",4,2,0,4,1,3,4,3,5,0,1,0,0,0,0,0,1,0,0,6,4,1,62,70,95,5,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,2,0,5,5,2,4,1,1,4,9,1,1,1,1,0,0,0,0,4,0,0.8198227
1,3,2,2,3,29,1,3,5,2,5,5,3,1,4,5,39,3,2,3,3,3,2,3,2,2,2,5,4,3,1,4,4,4,4,5,3,1,5,2,5,1,0,4,2,4,2,5,2,2,1,2,2,1,0,1,0.242,2,3,2,1,1,2,3,1,1,0,1,1,1,1,1,0,0,1,2,1,2,2,0,1,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,1,0,1,1,1,2,1,1,0,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,1,1,0,1,0,1,1,1,0,2,0,1,4,3,2,90,"1",4,2,0,5,3,2,3,3,1,0,0,0,0,0,0,0,0,0,1,6,3,0,62,62,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,5,4,2,1,1,1,2,5,1,1,2,4,0,0,0,0,2,1,1.740077
1,3,7,6,7,54,3,3,3,3,3,4,2,3,2,2,44,3,4,3,3,4,1,2,4,4,2,5,5,3,1,5,4,4,4,5,3,4,5,5,6,1,1,5,4,6,6,5,3,2,1,2,2,1,0,1,0.242,2,3,2,1,1,2,2,2,1,0,1,1,1,1,1,0,1,1,1,1,2,7,0,3,98,99,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,3,2,0,2,1,0,1,1,2,1,2,1,0,0,0,3,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,3,1,1,1,1,1,1,0,2,0,1,2,1,1,99,"1",4,1,0,4,1,2,3,4,4,0,1,0,0,1,0,0,0,0,0,5,4,1,62,65,5,5,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,2,0,5,4,3,3,4,2,2,7,1,1,3,5,0,0,0,0,2,0,1.506476
1,3,7,7,7,53,2,3,3,3,3,3,2,3,2,3,42,3,3,2,2,2,4,3,4,4,2,4,4,3,1,3,2,3,2,5,5,3,3,4,6,7,1,4,3,3,3,4,3,2,1,2,2,1,0,1,0.242,2,3,1,1,1,2,2,1,1,0,1,0,1,1,1,0,0,1,1,2,5,6,0,2,2,3,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,3,2,0,1,1,0,1,1,1,1,1,1,0,0,0,4,1,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,0,0,0,0,0,0,2,0,1,2,2,2,99,"1",1,2,1,3,3,2,2,3,3,0,0,0,0,0,0,0,0,0,1,4,4,1,62,67,50,2,0,0,0,0,2,4,0,0,0,1,0,0,0,0,0,1,1,4,4,3,2,3,2,4,7,1,1,4,9,0,0,0,0,4,1,2.146888
1,3,5,5,5,55,2,3,3,4,3,3,2,4,2,3,46,3,4,4,3,3,4,3,3,4,2,4,4,3,1,4,4,4,4,5,4,5,5,5,5,7,7,4,2,4,4,5,3,3,1,3,2,1,1,1,0.712,2,3,1,2,1,2,4,1,1,0,1,0,0,1,1,1,0,1,1,1,2,1,0,3,1,5,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,2,2,1,1,1,0,1,1,1,1,1,1,0,0,0,4,1,1,1,0,0,1,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,3,0,0,0,1,1,0,1,2,1,1,3,2,1,90,"0",4,1,1,3,2,3,3,4,4,0,0,0,0,0,1,1,1,0,0,6,3,1,62,70,30,3,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,1,2,6,2,3,1,1,2,3,1,1,4,9,0,0,0,0,2,1,0.566556
1,3,4,5,2,45,4,3,4,3,4,5,3,3,2,4,54,4,4,3,4,3,5,4,3,5,4,5,5,3,1,4,3,4,2,5,4,3,4,2,5,0,7,4,3,2,5,5,3,2,3,3,2,0,1,1,0.242,3,3,2,1,1,2,2,4,1,1,1,1,1,1,1,0,0,1,2,1,5,6,0,3,2,5,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,2,0,1,1,1,1,2,1,0,0,0,4,1,0,0,0,1,8,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,4,0,1,0,1,1,0,0,2,1,1,1,3,2,70,"1",1,2,0,3,2,3,3,5,4,0,0,0,0,1,0,1,0,0,0,5,2,0,62,70,85,4,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,2,1,4,6,2,4,1,2,3,8,2,1,1,2,0,0,0,0,3,0,0.8105633
1,3,3,5,4,40,1,1,4,2,4,4,3,1,3,4,44,3,4,3,3,1,5,3,4,3,3,3,4,3,0,3,3,4,2,4,4,1,4,3,6,1,1,4,4,1,5,4,2,2,1,1,2,1,0,1,0.242,3,3,1,1,1,2,2,4,1,1,1,0,1,1,1,0,0,1,2,2,1,3,0,1,2,2,1,1,1,1,0,0,1,0,0,0,0,0,0,0,1,2,1,0,1,1,0,1,1,1,1,2,1,0,1,1,1,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,3,0,0,0,0,1,1,0,2,0,1,2,3,2,50,"1",3,1,0,4,1,3,3,3,3,1,0,0,0,0,0,0,0,0,0,5,3,1,62,70,50,3,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,2,0,5,4,3,3,1,2,2,3,3,1,1,2,0,0,0,1,1,0,1.011039
1,1,7,6,7,41,5,5,5,4,5,5,3,5,3,3,69,4,5,4,5,5,5,5,5,5,4,6,5,5,1,4,5,5,4,3,4,3,5,4,5,0,0,5,4,4,5,6,4,2,1,1,2,1,0,1,0.242,1,3,2,2,2,2,3,4,2,0,1,1,0,0,1,0,0,0,2,1,2,2,0,2,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3,3,1,1,1,1,1,1,1,0,1,1,3,1,1,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,3,1,1,1,1,1,1,1,2,0,1,2,5,3,100,"1",1,1,0,4,2,2,4,3,4,1,0,0,0,0,0,0,0,0,0,6,3,1,62,65,100,3,0,0,0,1,1,2,0,1,0,0,0,0,0,0,0,1,0,5,4,2,3,2,2,1,1,1,0,3,5,0,0,0,0,1,1,1.210194
1,3,5,6,6,39,1,1,4,3,2,5,4,2,3,4,46,3,3,5,3,3,3,3,4,4,2,5,4,4,1,4,4,3,3,4,4,3,4,4,4,7,1,3,2,4,4,4,3,2,1,2,2,1,0,1,0.242,1,3,3,1,1,2,3,4,1,0,1,0,1,1,1,0,0,1,2,2,2,3,1,2,2,2,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,0,2,1,0,3,3,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,2,0,0,0,0,0,0,0,2,0,1,3,3,3,85,"1",3,1,0,3,2,2,3,3,3,0,0,0,0,0,0,0,0,0,1,4,2,1,62,65,80,3,0,0,1,0,0,5,0,0,0,1,1,0,0,0,0,1,0,5,2,4,3,1,2,3,5,1,1,3,5,0,0,1,0,2,0,1.40604
1,2,5,6,6,56,4,3,3,4,2,3,2,4,2,3,44,3,3,2,3,3,4,4,3,2,2,4,4,4,1,4,4,4,3,5,4,4,4,5,5,0,0,3,3,4,3,5,4,3,1,3,2,1,1,1,1.267,3,3,2,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,2,1,3,0,2,2,99,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,0,1,1,1,2,1,1,0,0,0,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,4,0,1,0,0,1,0,0,2,1,1,1,2,3,25,"1",3,2,0,2,2,2,3,4,4,1,0,0,0,1,0,0,0,0,0,5,2,1,62,62,65,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,5,5,2,2,1,1,1,2,3,1,4,8,0,0,0,0,1,0,2.107876
1,3,5,5,5,49,2,3,3,2,3,3,3,2,2,3,47,3,4,4,4,3,4,3,3,3,3,4,3,3,1,4,4,4,3,5,4,4,4,4,4,7,7,4,2,3,4,4,4,1,1,1,1,1,0,0,0.242,1,1,3,1,1,1,1,1,2,0,0,0,1,1,0,0,0,0,2,2,2,4,0,1,2,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,2,1,0,2,2,1,1,1,1,1,1,1,2,1,0,0,0,0,8,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,1,1,1,1,1,0,1,2,0,1,3,3,3,0,"1",3,2,0,4,3,3,3,3,3,0,1,0,0,0,0,0,0,0,0,4,3,1,62,61,0,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,5,2,4,2,1,2,4,5,1,1,3,5,0,1,1,0,2,0,1.344775
1,2,5,5,7,46,1,2,4,2,3,5,3,2,2,2,46,3,4,4,3,3,2,3,4,4,2,5,5,3,1,4,3,5,2,5,3,4,5,4,6,1,0,4,2,6,4,6,3,3,1,3,2,1,1,1,0.242,2,3,3,1,1,2,3,3,1,0,1,0,1,1,1,0,0,1,1,1,2,1,0,2,1,4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,3,0,1,1,1,2,1,1,0,0,0,2,1,1,0,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,2,0,0,0,0,0,0,1,2,1,1,2,4,1,100,"1",4,2,0,2,2,2,3,5,3,0,0,0,0,0,0,0,0,0,1,3,3,1,62,65,50,2,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,5,5,2,2,1,2,2,2,3,1,1,2,0,0,0,0,2,0,0.8686718
1,3,5,6,7,67,4,3,2,4,5,2,1,5,1,2,52,4,2,4,4,3,4,4,4,2,2,5,5,4,1,4,3,4,3,5,5,5,4,6,6,1,7,4,2,5,5,5,3,3,1,3,2,1,1,1,0.242,3,3,2,1,1,2,2,1,1,1,1,1,1,1,1,0,0,1,1,1,2,1,0,1,1,7,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,2,0,1,1,0,1,1,1,1,1,1,0,0,0,4,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,1,0,0,0,0,0,0,0,3,1,0,3,4,2,100,"1",4,2,1,3,2,3,3,4,3,0,0,0,0,0,0,1,0,0,0,3,3,1,62,62,90,5,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,2,1,2,8,1,5,1,1,2,6,1,1,3,5,0,0,0,0,2,0,0.2999121
3,3,6,6,6,60,4,4,2,4,4,2,2,3,1,2,52,3,4,3,3,3,4,4,5,5,2,6,5,4,1,5,4,5,5,5,5,5,5,6,6,1,1,5,3,6,6,2,4,3,1,3,2,1,1,1,1.267,3,3,2,1,1,2,4,2,1,1,1,1,1,1,1,1,1,1,1,1,2,7,0,4,3,5,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,2,2,0,1,1,0,1,1,1,1,1,1,0,0,0,4,1,1,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,2,0,1,0,0,1,1,1,1,0,0,3,3,1,50,"1",4,1,0,4,1,3,4,1,4,0,0,0,0,1,0,1,1,0,0,7,4,0,65,70,90,5,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,1,2,5,2,5,4,1,2,9,1,1,4,9,0,0,0,0,2,0,0.3502516
1,2,6,7,5,54,2,2,2,3,2,2,3,1,2,3,41,4,2,2,2,3,3,3,3,3,3,2,3,2,1,4,4,3,3,5,5,2,5,4,5,7,1,2,2,6,3,6,2,2,1,3,1,1,1,0,0.242,3,1,1,2,2,2,2,1,1,1,0,0,0,0,1,0,0,1,2,2,2,1,0,1,99,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4,1,0,1,1,0,2,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,3,1,0,2,2,2,7,"1",4,2,0,4,2,3,2,4,2,0,0,1,0,0,0,0,0,0,0,6,3,1,62,62,100,2,1,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,5,5,2,3,4,1,1,1,1,1,4,9,0,0,0,0,1,1,0.5991276
